PT	AU	BA	BE	GP	AF	CA	TI	SO	SE	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	BP	EP	AR	DI	D2	PG	P2	WC	SC	GA	UT
S	Re, M; Valentini, G		Benediktsson, JA; Kittler, J; Roli, F		Re, Matteo; Valentini, Giorgio		Ensemble Based Data Fusion for Gene Function Prediction	MULTIPLE CLASSIFIER SYSTEMS, PROCEEDINGS	Lecture Notes in Computer Science			8th International Workshop on Multiple Classifier Systems	JUN 10-12, 2009	Reykjavik, ICELAND	Int Assioc Patern Recognit & Tech Comm 1, IEEE Geosci & Remote Sensing Soc, IEEE Iceland Sect, Univ Cagliari, Univ Surrey	Univ Iceland																0302-9743	978-3-642-02325-5				2009	5519					448	457									WOS:000269293000045	
S	Atluri, G; Gupta, R; Fang, G; Pandey, G; Steinbach, M; Kumar, V		Rajasekaran, S		Atluri, Gowtham; Gupta, Rohit; Fang, Gang; Pandey, Gaurav; Steinbach, Michael; Kumar, Vipin		Association Analysis Techniques for Bioinformatics Problems	BIOINFORMATICS AND COMPUTATIONAL BIOLOGY, PROCEEDINGS	LECTURE NOTES IN BIOINFORMATICS			1st International Conference on Bioinformatics and Computational Biology	APR 08-10, 2009	New Orleans, LA	Univ Connecticut, Booth Engn Ctr Adv Technol																	0302-9743	978-3-642-00726-2				2009	5462					1	13									WOS:000265785800001	
J	Csikasz-Nagy, A; Kapuy, O; Toth, A; Pal, C; Jensen, LJ; Uhlmann, F; Tyson, JJ; Novak, B				Csikasz-Nagy, Attila; Kapuy, Orsolya; Toth, Attila; Pal, Csaba; Jensen, Lars Juhl; Uhlmann, Frank; Tyson, John J.; Novak, Bela		Cell cycle regulation by feed-forward loops coupling transcription and phosphorylation	MOLECULAR SYSTEMS BIOLOGY																								1744-4292				JAN	2009	5							236	10.1038/msb.2008.73							WOS:000263167600006	
S	Elstner, M; Andreoli, C; Klopstock, T; Meitinger, T; Prokisch, H		Allison, WS; Murphy, AN		Elstner, M.; Andreoli, C.; Klopstock, T.; Meitinger, T.; Prokisch, H.		THE MITOCHONDRIAL PROTEOME DATABASE: MITOP2	METHODS IN ENZYMOLOGY, VOL 457: MITOCHONDRIAL FUNCTION, PARTB MITOCHONDRIAL PROTEIN KINASES, PROTEIN PHOSPHATASES AND MITOCHONDRIAL DISEASES	Methods in Enzymology																							0076-6879	978-0-12-374622-1				2009	457					3	20		10.1016/S0076-6879(09)05001-0							WOS:000266544100001	
B	Pihur, V; Brock, GN; Datta, S		SenGupta, A		Pihur, V.; Brock, G. N.; Datta, S.		Cluster Validation for Microarray Data: An Appraisal	ADVANCES IN MULTIVARIATE STATISTICAL METHODS	Statistical Science and Interdisciplinary Research			International Conference on Multivariate Statistical Methods	DEC 28-29, 2006	Calcutta, INDIA																			978-981-283-823-0				2009	4					79	94									WOS:000273936100005	
J	Walter, MC; Rattei, T; Arnold, R; Guldener, U; Munsterkotter, M; Nenova, K; Kastenmuller, G; Tischler, P; Wolling, A; Volz, A; Pongratz, N; Jost, R; Mewes, HW; Frishman, D				Walter, Mathias C.; Rattei, Thomas; Arnold, Roland; Gueldener, Ulrich; Muensterkoetter, Martin; Nenova, Karamfilka; Kastenmueller, Gabi; Tischler, Patrick; Woelling, Andreas; Volz, Andreas; Pongratz, Norbert; Jost, Ralf; Mewes, Hans-Werner; Frishman, Dmitrij		PEDANT covers all complete RefSeq genomes	NUCLEIC ACIDS RESEARCH																								0305-1048				JAN	2009	37					D408	D411		10.1093/nar/gkn749							WOS:000261906200074	
J	Zhang, SH; Liu, HW; Ning, XM; Zhang, XS				Zhang, Shihua; Liu, Hong-Wei; Ning, Xue-Mei; Zhang, Xiang-Sun		A hybrid graph-theoretic method for mining overlapping functional modules in large sparse protein interaction networks	INTERNATIONAL JOURNAL OF DATA MINING AND BIOINFORMATICS				22nd ACM Symposium on Applied Computing	MAR 11-15, 2007	Seoul, SOUTH KOREA	ACM																	1748-5673					2009	3	1				68	84									WOS:000265541400006	
S	Re, M; Valentini, G		Okun, O; Valentini, G		Re, Matteo; Valentini, Giorgio		Prediction of Gene Function Using Ensembles of SVMs and Heterogeneous Data Sources	APPLICATIONS OF SUPERVISED AND UNSUPERVISED ENSEMBLE METHODS	Studies in Computational Intelligence			2nd Workshop on Supervised and Unsupervised Ensemble Methods and Their Applications	JUL 21-22, 2008	Patras, GREECE																		1860-949X	978-3-642-03998-0				2009	245					79	91									WOS:000280702900005	
J	Barbour, MM; Hanson, DT				Barbour, Margaret M.; Hanson, David T.		Stable carbon isotopes reveal dynamics of respiratory metabolism	NEW PHYTOLOGIST																								0028-646X					2009	181	2				243	245		10.1111/j.1469-8137.2008.02719.x							WOS:000261792900001	
J	Nara, K				Nara, Kazuhide		Spores of ectomycorrhizal fungi: ecological strategies for germination and dormancy	NEW PHYTOLOGIST																								0028-646X					2009	181	2				245	248		10.1111/j.1469-8137.2008.02691.x							WOS:000261792900002	
J	Recorbet, G; Rogniaux, H; Gianinazzi-Pearson, V; DumasGaudot, E				Recorbet, Ghislaine; Rogniaux, Helene; Gianinazzi-Pearson, Vivienne; DumasGaudot, Eliane		Fungal proteins in the extra-radical phase of arbuscular mycorrhiza: a shotgun proteomic picture	NEW PHYTOLOGIST																								0028-646X					2009	181	2				248	260		10.1111/j.1469-8137.2008.02659.x							WOS:000261792900003	
B	Al-Akwaa, FM; Kadah, YM			IEEE	Al-Akwaa, Fadhl M.; Kadah, Yasser M.		An Automatic Gene Ontology Software Tool for Bicluster and Cluster Comparisons	CIBCB: 2009 IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN BIOINFORMATICS AND COMPUTATIONAL BIOLOGY				IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology	MAR 30-APR 02, 2009	Nashville, TN	IEEE																		978-1-4244-2756-7				2009						163	167									WOS:000269148600024	
B	Sun, PG; Gao, L			IEEE	Sun, Peng Gang; Gao, Lin		Fast algorithms for detecting overlapping functional modules in protein-protein interaction networks	CIBCB: 2009 IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN BIOINFORMATICS AND COMPUTATIONAL BIOLOGY				IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology	MAR 30-APR 02, 2009	Nashville, TN	IEEE																		978-1-4244-2756-7				2009						247	254									WOS:000269148600036	
S	Al-Akwaa, FM; Ali, MH; Kadah, YM			IEEE	Al-Akwaa, Fadhl M.; Ali, Mohamed H.; Kadah, Yasser M.		BicAT_Plus: An Automatic Comparative Tool For Bi/Clustering of Gene Expression Data Obtained Using Microarrays	NRSC: 2009 NATIONAL RADIO SCIENCE CONFERENCE: NRSC 2009, VOLS 1 AND 2	National Radio Science Conference NRSC			26th National Radio Science Conference (NRSC 2009)	MAR 17-19, 2009	Cairo, EGYPT	Natl Radio Sci Comm, IEEE Egypt Sect, Natl Telecommun Inst, Natl Telecommun Regulartory Authority, Informat Technol Ind Dev Agcy	Future Univ, Fac Engn																1110-6972	978-1-4244-4214-0				2009						964	971									WOS:000279625300110	
B	Ni, QS; Wang, ZZ; Han, QJ; Li, GG; Wang, XM; Wang, GY			IEEE	Ni, Qingshan; Wang, Zhengzhi; Han, Qingjuan; Li, Gangguo; Wang, Xiaomin; Wang, Guangyun		Using logistic regression method to predict protein function from protein-protein interaction data	2009 3RD INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICAL ENGINEERING, VOLS 1-11				3rd International Conference on Bioinformatics and Biomedical Engineering	JUN 11-16, 2009	Beijing, PEOPLES R CHINA	IEEE Engineering Med & Biol Soc, Gordon Life Sci Inst, Fudan Univ, Beijing Univ Posts & Telecommunicat, Beijing Inst Technol, Wuhan Univ, Journal Biomed Sci & Engn																		978-1-4244-2901-1				2009						704	707									WOS:000286342800173	
B	Sun, PG; Gao, L			IEEE	Sun, Peng Gang; Gao, Lin		Algorithms based on Density and Shared Neighbors for Functional Modules Identification in PPI Networks	2009 9TH IEEE INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOENGINEERING				9th IEEE International Conference on BioInformatics and BioEngineering	JUN 22-24, 2009	Taichung, TAIWAN	IEEE																		978-1-4244-4294-2				2009						228	235		10.1109/BIBE.2009.6							WOS:000277202300031	
B	Wang, YQ; Ai, BL; He, XJ; Tan, XF; Shen, JK; Xing, WY		Liu, J; Vittori, S; Yang, C		Wang, Yiqiang; Ai, Binlin; He, Xiaojing; Tan, Xiaofeng; Shen, Jikang; Xing, Weiyi		EST-based Analysis of Gene Expression of Flavonoid Biosynthesis in Ginkgo Mature Leaves	PROCEEDINGS OF 2009 INTERNATIONAL CONFERENCE OF NATURAL PRODUCT AND TRADITIONAL MEDICINE, VOLS 1 AND 2				International Conference of National Product and Traditional Medicine	OCT 16-18, 2009	Xian, PEOPLES R CHINA		NW Univ																	978-0-982-24412-8				2009						411	416									WOS:000274286500095	
B	Liu, Q; Chen, YPP; Li, JY			IEEE	Liu, Qian; Chen, Yi-Ping Phoebe; Li, Jinyan		High Functional Coherence in k-Partite Protein Cliques of Protein Interaction Networks	2009 IEEE INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICINE				IEEE International Conference on Bioinformatics and Biomedicine (BIBMW 2009)	NOV 01-04, 2009	Washington, DC	IEEE, IEEE Comp Soc, Natl Sci Fdn																		978-0-7695-3885-3				2009						111	117		10.1109/BIBM.2009.46							WOS:000275900200021	
B	Pandey, G; Atluri, G; Fang, G; Gupta, R; Steinbach, M; Kumar, V			IEEE	Pandey, Gaurav; Atluri, Gowtham; Fang, Gang; Gupta, Rohit; Steinbach, Michael; Kumar, Vipin		ASSOCIATION ANALYSIS TECHNIQUES FOR ANALYZING COMPLEX BIOLOGICAL DATA SETS	2009 IEEE INTERNATIONAL WORKSHOP ON GENOMIC SIGNAL PROCESSING AND STATISTICS (GENSIPS 2009)				7th IEEE International Workshop on Genomic Signal Processing and Statistics (GENSIPS 2009)	MAY 17-19, 2009	Minneapolis, MN	IEEE Signal Proc Soc																		978-1-4244-4531-8				2009						172	175									WOS:000274130500047	
J	Falara, V; Fotopoulos, V; Margaritis, T; Anastasaki, T; Pateraki, I; Bosabalidis, AM; Kafetzopoulos, D; Demetzos, C; Pichersky, E; Kanellis, AK				Falara, Vasiliki; Fotopoulos, Vasileios; Margaritis, Thanasis; Anastasaki, Thalia; Pateraki, Irene; Bosabalidis, Artemios M.; Kafetzopoulos, Dimitris; Demetzos, Costas; Pichersky, Eran; Kanellis, Angelos K.		Transcriptome analysis approaches for the isolation of trichome-specific genes from the medicinal plant Cistus creticus subsp creticus	PLANT MOLECULAR BIOLOGY																								0167-4412				DEC	2008	68	6				633	651		10.1007/s11103-008-9399-0							WOS:000260378600008	
J	Antonov, AV; Mewes, HW				Antonov, Alexey V.; Mewes, Hans W.		Complex phylogenetic profiling reveals fundamental genotype-phenotype associations	COMPUTATIONAL BIOLOGY AND CHEMISTRY																								1476-9271				DEC	2008	32	6				412	416		10.1016/j.compbiolchem.2008.07.003							WOS:000261257500004	
J	Nevarez, L; Vasseur, V; Le Drean, G; Tanguy, A; Guisle-Marsollier, I; Houlgatte, R; Barbier, G				Nevarez, L.; Vasseur, V.; Le Drean, G.; Tanguy, A.; Guisle-Marsollier, I.; Houlgatte, R.; Barbier, G.		Isolation and analysis of differentially expressed genes in Penicillium glabrum subjected to thermal stress	MICROBIOLOGY-SGM																								1350-0872				DEC	2008	154					3752	3765		10.1099/mic.0.2008/021386-0							WOS:000261974700015	
J	Loizeau, K; De Brouwer, V; Gambonnet, B; Yu, A; Renou, JP; Van Der Straeten, D; Lambert, WE; Rebeille, F; Ravanel, S				Loizeau, Karen; De Brouwer, Veerle; Gambonnet, Bernadette; Yu, Agnes; Renou, Jean-Pierre; Van Der Straeten, Dominique; Lambert, Willy E.; Rebeille, Fabrice; Ravanel, Stephane		A Genome-Wide and Metabolic Analysis Determined the Adaptive Response of Arabidopsis Cells to Folate Depletion Induced by Methotrexate	PLANT PHYSIOLOGY																								0032-0889				DEC	2008	148	4				2083	2095		10.1104/pp.108.130336							WOS:000261501500027	
J	Lysoe, E; Bone, KR; Klemsdal, SS				Lysoe, Erik; Bone, Karen R.; Klemsdal, Sonja S.		Identification of up-regulated genes during zearalenone biosynthesis in Fusarium	EUROPEAN JOURNAL OF PLANT PATHOLOGY																								0929-1873				DEC	2008	122	4				505	516		10.1007/s10658-008-9318-x							WOS:000260540400006	
J	Elstner, M; Andreoli, C; Ahting, U; Tetko, I; Klopstock, T; Meitinger, T; Prokisch, H				Elstner, Matthias; Andreoli, Christophe; Ahting, Uwe; Tetko, Igor; Klopstock, Thomas; Meitinger, Thomas; Prokisch, Holger		MitoP2: An Integrative Tool for the Analysis of the Mitochondrial Proteome	MOLECULAR BIOTECHNOLOGY																								1073-6085				NOV	2008	40	3				306	315		10.1007/s12033-008-9100-5							WOS:000260068300011	
J	Kuzniar, A; van Ham, RCHJ; Pongor, S; Leunissen, JAM				Kuzniar, Arnold; van Ham, Roeland C. H. J.; Pongor, Sandor; Leunissen, Jack A. M.		The quest for orthologs: finding the corresponding gene across genomes	TRENDS IN GENETICS																								0168-9525				NOV	2008	24	11				539	551		10.1016/j.tig.2008.08.009							WOS:000261533700003	
J	Wang, Y; Zhang, WZ; Song, LF; Zou, JJ; Su, Z; Wu, WH				Wang, Yi; Zhang, Wen-Zheng; Song, Lian-Fen; Zou, Jun-Jie; Su, Zhen; Wu, Wei-Hua		Transcriptome Analyses Show Changes in Gene Expression to Accompany Pollen Germination and Tube Growth in Arabidopsis	PLANT PHYSIOLOGY																								0032-0889				NOV	2008	148	3				1201	1211		10.1104/pp.108.126375							WOS:000260719500003	
J	Chagoyen, M; Carazo, JM; Pascual-Montano, A				Chagoyen, Monica; Carazo, Jose M.; Pascual-Montano, Alberto		Assessment of protein set coherence using functional annotations	BMC BIOINFORMATICS																								1471-2105				OCT 20	2008	9							444	10.1186/1471-2105-9-444							WOS:000261534000001	
J	Schonig, B; Brown, DW; Oeser, B; Tudzynski, B				Schoenig, Birgit; Brown, Daren W.; Oeser, Birgitt; Tudzynski, Bettina		Cross-Species Hybridization with Fusarium verticillioides Microarrays Reveals New Insights into Fusarium fujikuroi Nitrogen Regulation and the Role of AreA and NMR	EUKARYOTIC CELL																								1535-9778				OCT	2008	7	10				1831	1846		10.1128/EC.00130-08							WOS:000259892900019	
J	Zhao, XM; Chen, LN; Aihara, K				Zhao, Xing-Ming; Chen, Luonan; Aihara, Kazuyuki		Protein function prediction with high-throughput data	AMINO ACIDS																								0939-4451				OCT	2008	35	3				517	530		10.1007/s00726-008-0077-y							WOS:000258833500002	
J	Liu, ZP; Wu, LY; Wang, Y; Zhang, XS; Chen, LN				Liu, Zhi-Ping; Wu, Ling-Yun; Wang, Yong; Zhang, Xiang-Sun; Chen, Luonan		Bridging protein local structures and protein functions	AMINO ACIDS																								0939-4451				OCT	2008	35	3				627	650		10.1007/s00726-008-0088-8							WOS:000258833500013	
J	Surmeli, D; Ratmann, O; Mewes, HW; Tetko, IV				Surmeli, Dimitrij; Ratmann, Oliver; Mewes, Hans-Werner; Tetko, Igor V.		FunCat functional inference with belief propagation and feature integration	COMPUTATIONAL BIOLOGY AND CHEMISTRY																								1476-9271				OCT	2008	32	5				375	377		10.1016/j.compbiolchem.2008.06.004							WOS:000260110700010	
J	van den Berg, MA; Albang, R; Albermann, K; Badger, JH; Daran, JM; Driessen, AJM; Garcia-Estrada, C; Fedorova, ND; Harris, DM; Heijne, WHM; Joardar, V; Kiel, JAKW; Kovalchuk, A; Martin, JF; Nierman, WC; Nijland, JG; Pronk, JT; Roubos, JA; van der Klei, IJ; van Peij, NNME; Veenhuis, M; von Dohren, H; Wagner, C; Wortman, J; Bovenberg, RAL				van den Berg, Marco A.; Albang, Richard; Albermann, Kaj; Badger, Jonathan H.; Daran, Jean-Marc; Driessen, Arnold J. M.; Garcia-Estrada, Carlos; Fedorova, Natalie D.; Harris, Diana M.; Heijne, Wilbert H. M.; Joardar, Vinita; Kiel, Jan A. K. W.; Kovalchuk, Andriy; Martin, Juan F.; Nierman, William C.; Nijland, Jeroen G.; Pronk, Jack T.; Roubos, Johannes A.; van der Klei, Ida J.; van Peij, Noel N. M. E.; Veenhuis, Marten; von Doehren, Hans; Wagner, Christian; Wortman, Jennifer; Bovenberg, Roel A. L.		Genome sequencing and analysis of the filamentous fungus Penicillium chrysogenum	NATURE BIOTECHNOLOGY																								1087-0156				OCT	2008	26	10				1161	1168		10.1038/nbt.1498							WOS:000259926000031	
J	Choudhury, A; Lahiri, A				Choudhury, Ananyo; Lahiri, Ansuman		Arabidopsis thaliana regulatory element analyzer	BIOINFORMATICS																								1367-4803				OCT 1	2008	24	19				2263	2264		10.1093/bioinformatics/btn417							WOS:000259581900024	
J	Li, M; Chen, JE; Wang, JX; Hu, B; Chen, G				Li, Min; Chen, Jian-er; Wang, Jian-xin; Hu, Bin; Chen, Gang		Modifying the DPClus algorithm for identifying protein complexes based on new topological structures	BMC BIOINFORMATICS																								1471-2105				SEP 25	2008	9							398	10.1186/1471-2105-9-398							WOS:000260488400001	
J	Cho, YR; Shi, L; Ramanathan, M; Zhang, AD				Cho, Young-Rae; Shi, Lei; Ramanathan, Murali; Zhang, Aidong		A probabilistic framework to predict protein function from interaction data integrated with semantic knowledge	BMC BIOINFORMATICS																								1471-2105				SEP 18	2008	9							382	10.1186/1471-2105-9-382							WOS:000260487900001	
J	Lawrence, SD; Novak, NG; Ju, CJT; Cooke, JEK				Lawrence, Susan D.; Novak, Nicole G.; Ju, Chelsea J. -T.; Cooke, Janice E. K.		Examining the molecular interaction between potato (Solanum tuberosum) and Colorado potato beetle Leptinotarsa decemlineata	BOTANY-BOTANIQUE																								1916-2790				SEP	2008	86	9				1080	1091		10.1139/B08-074							WOS:000259575700011	
J	Kasuga, T; Glass, NL				Kasuga, Takao; Glass, N. Louise		Dissecting colony development of Neurospora crassa using mRNA profiling and comparative genomics approaches	EUKARYOTIC CELL																								1535-9778				SEP	2008	7	9				1549	1564		10.1128/EC.00195-08							WOS:000258985700012	
J	Zarnack, K; Eichhorn, H; Kahmann, R; Feldbrugge, M				Zarnack, Kathl; Eichhorn, Heiko; Kahmann, Regine; Feldbruegge, Michael		Pheromone-regulated target genes respond differentially to MAPK phosphorylation of transcription factor Prf1	MOLECULAR MICROBIOLOGY																								0950-382X				AUG	2008	69	4				1041	1053		10.1111/j.1365-2958.2008.06345.x							WOS:000258595000021	
J	Waegele, B; Schmidt, T; Mewes, HW; Ruepp, A				Waegele, Brigitte; Schmidt, Thorsten; Mewes, H. Werner; Ruepp, Andreas		OREST: the online resource for EST analysis	NUCLEIC ACIDS RESEARCH																								0305-1048				JUL	2008	36			S		W140	W144		10.1093/nar/gkn253							WOS:000258142300027	
J	Rincones, J; Scarpari, LM; Carazzolle, MF; Mondego, JMC; Formighieri, EF; Barau, JG; Costa, GGL; Carraro, DM; Brentani, HP; Vilas-Boas, LA; de Oliveira, BV; Sabha, M; Dias, R; Cascardo, JM; Azevedo, RA; Meinhardt, LW; Pereira, GAG				Rincones, Johana; Scarpari, Leandra M.; Carazzolle, Marcelo F.; Mondego, Jorge M. C.; Formighieri, Eduardo F.; Barau, Joan G.; Costa, Gustavo G. L.; Carraro, Dirce M.; Brentani, Helena P.; Vilas-Boas, Laurival A.; de Oliveira, Bruno V.; Sabha, Maricene; Dias, Robson; Cascardo, Julio M.; Azevedo, Ricardo A.; Meinhardt, Lyndel W.; Pereira, Goncalo A. G.		Differential gene expression between the biotrophic-like and saprotrophic mycelia of the witches' broom pathogen Moniliophthora perniciosa	MOLECULAR PLANT-MICROBE INTERACTIONS																								0894-0282				JUL	2008	21	7				891	908		10.1094/MPMI-21-7-0891							WOS:000256866900004	
J	Nurniwalis, AW; Suhaimi, N; Akmar, ASN; Aminah, S; Arif, MAM				Nurniwalis, A. W.; Suhaimi, N.; Akmar, Siti Nor A.; Aminah, S.; Arif, Mohamad M. A.		GENE DISCOVERY VIA EXPRESSED SEQUENCE TAGS FROM THE OIL PALM (Elaeis guineensis Jacq.) MESOCARP	JOURNAL OF OIL PALM RESEARCH																								1511-2780				JUL	2008					SI	87	96									WOS:000207538600010	
J	Radfar, A; Diez, A; Bautista, JM				Radfar, Azar; Diez, Amalia; Bautista, Jose M.		Chloroquine mediates specific proteome oxidative damage across the erythrocytic cycle of resistant Plasmodium falciparum	FREE RADICAL BIOLOGY AND MEDICINE																								0891-5849				JUN 15	2008	44	12				2034	2042		10.1016/j.freeradbiomed.2008.03.010							WOS:000256579600006	
J	Andrade, HM; Murta, SMF; Chapeaurouge, A; Perales, J; Nirde, P; Romanha, AJ				Andrade, Helida M.; Murta, Silvane M. F.; Chapeaurouge, Alex; Perales, Jonas; Nirde, Phillipe; Romanha, Alvaro J.		Proteomic analysis of Trypanosoma cruzi resistance to benznidazole	JOURNAL OF PROTEOME RESEARCH																								1535-3893				JUN	2008	7	6				2357	2367		10.1021/pr700659m							WOS:000256599000019	
J	Vaupotic, T; Veranic, P; Jenoe, P; Plemenitas, A				Vaupotic, Tomaz; Veranic, Peter; Jenoe, Paul; Plemenitas, Ana		Mitochondrial mediation of environmental osmolytes discrimination during osmoadaptation in the extremely halotolerant black yeast Hortaea werneckii	FUNGAL GENETICS AND BIOLOGY																								1087-1845				JUN	2008	45	6				994	1007		10.1016/j.fgb.2008.01.006							WOS:000256317700020	
J	Carletti, P; Masi, A; Spolaore, B; De Laureto, PP; De Zorzi, M; Turetta, L; Ferretti, M; Nardi, S				Carletti, Paolo; Masi, Antonio; Spolaore, Barbara; De laureto, Patrizia Polverino; De Zorzi, Mariangela; Turetta, Loris; Ferretti, Massimo; Nardi, Serenella		Protein expression changes in maize roots in response to humic substances	JOURNAL OF CHEMICAL ECOLOGY																								0098-0331				JUN	2008	34	6				804	818		10.1007/s10886-008-9477-4							WOS:000256824300014	
J	Yuan, XL; van der Kaaij, RM; van den Hondel, CAMJJ; Punt, PJ; van der Maarel, MJEC; Dijkhuizen, L; Ram, AFJ				Yuan, Xiao-Lian; van der Kaaij, Rachel M.; van den Hondel, Cees A. M. J. J.; Punt, Peter J.; van der Maarel, Marc J. E. C.; Dijkhuizen, Lubbert; Ram, Arthur F. J.		Aspergillus niger genome-wide analysis reveals a large number of novel alpha-glucan acting enzymes with unexpected expression profiles	MOLECULAR GENETICS AND GENOMICS																								1617-4615				JUN	2008	279	6				545	561		10.1007/s00438-008-0332-7							WOS:000256083000001	
J	Marshall, SDG; Gatehouse, LN; Becher, SA; Christeller, JT; Gatehouse, HS; Hurst, MRH; Boucias, DG; Jackson, TA				Marshall, S. D. G.; Gatehouse, L. N.; Becher, S. A.; Christeller, J. T.; Gatehouse, H. S.; Hurst, M. R. H.; Boucias, D. G.; Jackson, T. A.		Serine proteases identified from a Costelytra zealandica (White) (Coleoptera : Scarabaeidae) midgut EST library and their expression through insect development	INSECT MOLECULAR BIOLOGY																								0962-1075				JUN	2008	17	3				247	259		10.1111/j.1365-2583.2008.00798.x							WOS:000255753400006	
J	Cushman, JC; Tillett, RL; Wood, JA; Branco, JM; Schlauch, KA				Cushman, John C.; Tillett, Richard L.; Wood, Joshua A.; Branco, Joshua M.; Schlauch, Karen A.		Large-scale mRNA expression profiling in the common ice plant, Mesembryanthemum crystallinum, performing C(3) photosynthesis and Crassulacean acid metabolism (CAM)	JOURNAL OF EXPERIMENTAL BOTANY				14th International Congress of Photosynthesis	JUL 22-27, 2007	Glasgow, SCOTLAND																		0022-0957				MAY	2008	59	7				1875	1894		10.1093/jxb/ern008							WOS:000256274800038	
J	Carapito, R; Hatsch, D; Vorwerk, S; Petkovski, E; Jeltsch, JM; Phalip, V				Carapito, Raphael; Hatsch, Didier; Vorwerk, Sonja; Petkovski, Elizabet; Jeltsch, Jean-Marc; Phalip, Vincent		Gene expression in Fusarium graminearum grown on plant cell wall	FUNGAL GENETICS AND BIOLOGY																								1087-1845				MAY	2008	45	5				738	748		10.1016/j.fgb.2007.12.002							WOS:000255153600016	
J	Ehlting, J; Sauveplane, V; Olry, A; Ginglinger, JF; Provart, NJ; Werck-Reichhart, D				Ehlting, Juergen; Sauveplane, Vincent; Olry, Alexandre; Ginglinger, Jean-Francois; Provart, Nicholas J.; Werck-Reichhart, Daniele		An extensive (co-)expression analysis tool for the cytochrome P450 superfamily in Arabidopsis thaliana	BMC PLANT BIOLOGY																								1471-2229				APR 23	2008	8							47	10.1186/1471-2229-8-47							WOS:000256220300002	
J	Endo, A; Nakamura, T; Ando, A; Tokuyasu, K; Shima, J				Endo, Ayako; Nakamura, Toshihide; Ando, Akira; Tokuyasu, Ken; Shima, Jun		Genome-wide screening of the genes required for tolerance to vanillin, which is a potential inhibitor of bioethanol fermentation, in Saccharomyces cerevisiae	BIOTECHNOLOGY FOR BIOFUELS																								1754-6834				APR 15	2008	1							3	10.1186/1754-6834-1-3							WOS:000271909600003	
J	Sarac, OS; Gursoy-Yuzugullu, O; Cetin-Atalay, R; Atalay, V				Sarac, Omer Sinan; Guersoy-Yuezueguellue, Oezge; Cetin-Atalay, Rengul; Atalay, Volkan		Subsequence-based feature map for protein function classification	COMPUTATIONAL BIOLOGY AND CHEMISTRY																								1476-9271				APR	2008	32	2				122	130		10.1016/j.compbiolchem.2007.11.004							WOS:000255263300005	
J	Shariff, EM; Ti, LLE; Alias, H; Choo, CS; Singh, R				Shariff, Elyana Md; Ti, Leslie Low Eng; Alias, Halimah; Choo, Cheah Suan; Singh, Rajinder		Identification of genes expressed in the embryoid tissue of oil palm (Elaeis guineensis Jacq.) tissue culture via expressed sequence tag analysis	JOURNAL OF OIL PALM RESEARCH																								1511-2780				APR	2008						51	63									WOS:000256428100007	
J	Aguilar, D; Oliva, B				Aguilar, Daniel; Oliva, Baldo		Topological comparison of methods for predicting transcriptional cooperativity in yeast	BMC GENOMICS																								1471-2164				MAR 25	2008	9							137	10.1186/1471-2164-9-137							WOS:000255707700001	
J	Frohler, S; Kramer, S				Froehler, Sebastian; Kramer, Stefan		Inductive logic programming for gene regulation prediction	MACHINE LEARNING				16th International Conference of Inductive Logic Programming	2006	Santiago de Compostela, SPAIN																		0885-6125				MAR	2008	70	2-3				225	240		10.1007/s10994-007-5037-3							WOS:000252168900008	
J	Brock, G; Datta, S; Pihur, V; Datta, S				Brock, Guy; Datta, Susmita; Pihur, Vasyl; Datta, Somnath		clValid: An R package for cluster validation	JOURNAL OF STATISTICAL SOFTWARE																								1548-7660				MAR	2008	25	4				1	22									WOS:000254619700001	
J	Tetko, IV; Rodchenkov, IV; Walter, MC; Rattei, T; Mewes, HW				Tetko, Igor V.; Rodchenkov, Igor V.; Walter, Mathias C.; Rattei, Thomas; Mewes, Hans-Werner		Beyond the best match: machine learning annotation of protein sequences by integration of different sources of information	BIOINFORMATICS																								1367-4803				MAR 1	2008	24	5				621	628		10.1093/bioinformatics/btm633							WOS:000253746400004	
J	Valentini, G; Cesa-Bianchi, N				Valentini, Giorgio; Cesa-Bianchi, Nicolo		HCGene: a software tool to support the hierarchical classification of genes	BIOINFORMATICS																								1367-4803				MAR 1	2008	24	5				729	731		10.1093/bioinformatics/btn015							WOS:000253746400024	
J	Ishihama, Y; Schmidt, T; Rappsilber, J; Mann, M; Hartl, FU; Kerner, MJ; Frishman, D				Ishihama, Yasushi; Schmidt, Thorsten; Rappsilber, Juri; Mann, Matthias; Hartl, F. Ulrich; Kerner, Michael J.; Frishman, Dmitrij		Protein abundance profiling of the Escherichia coli cytosol	BMC GENOMICS																								1471-2164				FEB 27	2008	9							102	10.1186/1471-2164-9-102							WOS:000254891100003	
